央视,#genre#
湖北卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225740/index.m3u8
湖南卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225704/index.m3u8
吉林卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225680/index.m3u8
江苏卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225705/index.m3u8
辽宁卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225696/index.m3u8
青海卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225727/index.m3u8
山东卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225697/index.m3u8
深圳卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225741/index.m3u8
四川卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225698/index.m3u8
云南卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225664/index.m3u8
浙江卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225703/index.m3u8
重庆卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225692/index.m3u8
CETV-1,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225661/index.m3u8
CETV-2,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226242/index.m3u8
CETV-4,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225937/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
安徽卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225691/index.m3u8
北京卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225673/index.m3u8
兵团卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226200/index.m3u8
大湾区卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226203/index.m3u8
东方卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225658/index.m3u8
东南卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225657/index.m3u8
甘肃卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225724/index.m3u8
广东卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225701/index.m3u8
广西卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225731/index.m3u8
贵州卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225722/index.m3u8
河北卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225732/index.m3u8
河南卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226196/index.m3u8
黑龙江卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225690/index.m3u8
湖北卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225704/index.m3u8
吉林卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225680/index.m3u8
江苏卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225705/index.m3u8
康巴卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226207/index.m3u8
辽宁卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225696/index.m3u8
内蒙古卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225667/index.m3u8
宁夏卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225726/index.m3u8
农林卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226204/index.m3u8
青海卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225727/index.m3u8
厦门卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221226199/index.m3u8
山东教育卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225719/index.m3u8
山东卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225697/index.m3u8
山西卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225730/index.m3u8
深圳卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225700/index.m3u8
四川卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225698/index.m3u8
西藏卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225725/index.m3u8
云南卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225664/index.m3u8
浙江卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225703/index.m3u8
重庆卫视,http://ysten.jx.chinamobile.com:8080/PLTV/88888910/224/3221225692/index.m3u8
安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$可回放
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8$可回放
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8$可回放
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$可回放
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$可回放
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8$可回放
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$可回放
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8$可回放
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$可回放
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8$可回放
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8$可回放
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$可回放
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8$可回放
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$可回放
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8$可回放
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$可回放
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$可回放
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8$可回放
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$可回放
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8$可回放
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8$可回放
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$可回放

精品轮播,#genre#
求索纪录,http://39.135.138.60:18890/PLTV/88888910/224/3221226324/index.m3u8?fmt=ts2hls
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
